part_number,quantity,color_description,color_number,part_description
3701,3,Light Grey,9,Technic Brick  1 x  4 with Holes
3705,4,Black,11,Technic Axle  4
3706,10,Black,11,Technic Axle  6
3707,4,Black,11,Technic Axle  8
3713,15,Red,5,Technic Bush with Two Flanges
4032,4,Black,11,Plate  2 x  2 Round with Axlehole Type 1
40490,5,Black,11,Technic Beam  9
41239,1,Black,11,Technic Beam 13
41669,2,Black,11,Technic Tooth  1 x  3 with Axlehole
41677,14,Red,5,Technic Beam  2 x  0.5 Liftarm
42003,4,Black,11,Technic Cross Block 1 x 3 (Axle/Pin/Pin)
42003,13,Red,5,Technic Cross Block 1 x 3 (Axle/Pin/Pin)
4274,4,Blue,7,Technic Pin 1/2
43093,24,Blue,7,Technic Axle Pin with Friction
43857,4,Black,11,Technic Beam  2
44294,12,Light Grey,9,Technic Axle  7
4459,4,Tan,2,Technic Pin with Friction
44772,4,Black,11,Wheel Rim 34 x 56 with 6 Spokes and 3 Pegholes
4519,12,Light Grey,9,Technic Axle  3
48989,8,Light Grey,9,Technic Cross Block 1 x 3 (Pin/Pin/Pin) with 4 Pins
55615,10,Light Grey,9,Technic Pin Connector Perpendicular  3 x  3 Bent 90 with 4 Pins
57515,4,Dark Grey,10,Technic Suspension Arm  2 x  6
58119,1,Light Grey,9,Electric Power Functions 9V Battery Box (Complete)
59443,2,Black,11,Technic Axle Joiner Inline Smooth
60483,4,Black,11,Technic Beam  2 Liftarm
60484,6,Black,11,Technic Beam  3 x  3 T-shaped
60485,7,Light Grey,9,Technic Axle  9
6141,4,Trans Red,17,Plate  1 x  1 Round
6141,6,Trans Clear,12,Plate  1 x  1 Round
62462,14,Black,11,Technic Pin Joiner Round with Slot
62462,6,Dark Grey,10,Technic Pin Joiner Round with Slot
62531,2,Red,5,Technic Panel Smooth 11 x  2 x  3
62821,2,Dark Grey,10,Technic Differential with One Gear 28 Tooth Bevel
63869,3,Light Grey,9,Technic Cross Block 3 x 2 (Axle/Triple Pin)
64178,3,Light Grey,9,Technic Beam 11 x  5 with Open Center  5 x  3
64391,1,Red,5,Technic Panel Fairing Smooth #4 (Medium)
64392,1,Red,5,Technic Panel Fairing Smooth #17 (Wide Long)
64393,1,Red,5,Technic Panel Fairing Smooth #6 (Long)
64681,1,Red,5,Technic Panel Fairing Smooth #5 (Long)
64682,1,Red,5,Technic Panel Fairing Smooth #18 (Wide Long)
64683,1,Red,5,Technic Panel Fairing Smooth #3 (Medium)
64782,1,Red,5,Technic Panel  5 x 11
6536,10,Black,11,Technic Cross Block 1 x 2 (Axle/Pin)
6536,2,Light Grey,9,Technic Cross Block 1 x 2 (Axle/Pin)
6558,54,Blue,7,Technic Pin Long with Friction and Slot
6589,6,Tan,2,Technic Gear 12 Tooth Bevel
6628,8,Black,11,Technic Pin Towball with Friction
6632,8,Black,11,Technic Beam  3 x  0.5 Liftarm
87080,1,Black,11,Technic Panel Fairing Smooth #1 (Short)
87080,1,Red,5,Technic Panel Fairing Smooth #1 (Short)
87082,1,Black,11,Technic Pin Long with Pin Hole
87082,8,Light Grey,9,Technic Pin Long with Pin Hole
87086,1,Black,11,Technic Panel Fairing Smooth #2 (Short)
87086,1,Red,5,Technic Panel Fairing Smooth #2 (Short)
87761,1,Black,11,Technic Gear Rack  1 x  7 with Pegholes and Axleholes
92906,4,Dark Grey,10,Technic Steering Constant Velocity Joint Female
92907,2,Black,11,Technic Cross Block  2 x  2 x  2 Bent 90 Split (Pin/Twin Axle)
92909,4,Dark Grey,10,Technic Steering Wheel Hub for Portal Axle
94925,6,Light Grey,9,Technic Gear 16 Tooth Reinforced
98989,10,Light Grey,9,Technic Cross Block  2 x  4 (Axle/Pin/Pin/Twin Pin)
99008,2,Tan,2,Technic Axle  4 with Middle Cylindrical Stop
99498,1,Light Grey,9,Electric Power Functions Servo Motor
99499,2,Light Grey,9,Electric Power Functions Large Motor
